Category,Function Name,Arguments,Result Type,Explanation,Examples,Display Reference,More Examples
Type Conversion,ToTimeOfDay,(Date/Time t),TimeOfDay,Date/Time fields display the date and time. This function returns the TimeOfDay on which the Date/Time t falls in the local time zone.,ToTimeOfDay([Last Modified]),https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=142,ToTimeOfDay
Type Conversion,ToTimestamp,(Date d),Date/Time,Returns a Date / Time value which is 12:00 am of the given Date d in the local time zone (midnight at the beginning of the Date).,"ToTimestamp(Date(2000,7,4)) returns midnight on July 4, 2000.
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=113,ToTimestamp
Type Conversion,ToTimestamp,"(Date d, TimeOfDay t)",Date/Time,"Returns a Date / Time value which is at the given TimeOfDay t, on the given Date d in the local time zone","ToTimestamp([Start Date], [Start Time])",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=143,ToTimestamp
Special,ToUser,(Text t),User,"Converts a user name or e-mail address to a user value. A ""user"" is an individual with whom you've shared your application. You'd translate something like an e-mail address into a user value so that QuickBase recognizes the user. When you do so, you can take advantage of user fields to design permissions and/or views. For example, show a user only those tasks that have been assigned to her. ","ToUser([Email Address]) takes the values in the Email Address field and returns their corresponding user values.
ToUser(""jsmith"") returns the user with the user name ""jsmith"". 
ToUser(""jsmith@example.com"") returns the user possessing that e-mail address.  
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=178,ToUser
Special,ToUserList,(User u ..),UserList,"<p>Concatenates the contents of one or more user type fields into a user list field type.</p>

<p>This field is of type List-User and has a limit of 20 entries. If the resulting value of this field in a record exceeds the maximum entries allowed the resulting value will be set to blank.</p>
","ToUserList([Sales Manager], [Business Manager]) takes the values in the Sales Manager field and Business Manager field and returns the combined value into another field.
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=181,ToUserList
Special,ToUserList,(UserList ul ..),UserList,"<div class=""cell cc RichTextField"" id=""tdf_5"">
<p>Concatenates the contents of one or more user type fields into a user list field type.</p>

<p>This field is of type List-User and has a limit of 20 entries. If the resulting value of this field in a record exceeds the maximum entries allowed the resulting value will be set to blank.</p>
</div>
","ToUserList([Sales Managers], [Business Managers]) takes the values in the Sales Manager field and Business Manager field and returns the combined value into another field.
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=182,ToUserList
Dates,ToWeekdayN,(Date d),Date,"If the given date d is a weekday returns it, otherwise returns the next occurring weekday. ","To WeekdayN([Order Date]) returns the date in the Order Date field if it's a weekday. If not, it returns the date of the next weekday.

ToWeekdayN(ToDate(""6/21/2003"")) returns 6/23/2003",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=153,ToWeekdayN
Dates,ToWeekdayP,(Date d),Date,"If the given date d is a weekday returns it, otherwise returns the previously occurring weekday. ","ToWeekdayP(ToDate(""6/21/2003"")) returns 6/20/2003",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=154,ToWeekdayP
Durations,ToWeeks,(Duration d),Number,"Takes a Duration d, and returns the number of weeks contained in it.","ToWeeks(Days(14)) returns 2
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=115,ToWeeks
Type Conversion,ToWorkDate,(Date d),WorkDate,Converts a date d to a WorkDate.,"ToWorkDate([Finish]) takes a date value from the Finish field and returns it as a Workdate.

ToWorkDate(ToDate(""10/31/2003"")) returns a work date whose value is 10/31/2003",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=168,ToWorkDate
Text,Trim,(Text t),Text,"Returns t with leading and trailing white space characters removed. White space characters are space, tab, CR and LF. ","Trim(""  ABC "") returns ""ABC""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=61,Trim
Text,Upper,(Text t),Text,Returns t converted to upper case.,"Upper(""abc"") returns ""ABC""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=60,Upper
Text,URLEncode,(Text t),Text,"Encodes the text t so that it can be used in a URL, by substituting special character combinations for certain reserved characters, like '&' and '=' and space.","URLEncode(""abc def&ghi=4"") returns ""abc+def%26ghi%3D4""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=123,URLEncode
Special,URLRoot,(),Text,"Returns the first part of the URL used to access QuickBase, including the protocol and the site name.","URLRoot() returns ""https://www.quickbase.com/""",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=150,URLRoot
Special,User,(),User,"Returns the user currently accessing the database. 

","With this function you can create a view that selects only the records modified by the user who is currently viewing the database.
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=138,User
Special,UserListToEmails,(UserList ul),text,"Returns a semi-colon separated list of email addresses for all the users selected on the User List field.

This function won't work for users who have hidden their e-mail address by choosing a screen name.",UserListToEmails([Assigned To]) returns the semi-colon separated list of email addresses of the QuickBase users who are part of Assigned To field for a record.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=183,UserListToEmails
Special,UserListToIds,(UserList ul),Text,Returns a semi-colon separated list of users&#39; hashed IDs.,"UserListToIds([Volunteers]), returns ""1234.abcd; 1000.dac3"" where the Volunteers are the users Michael Smith and Nancy Jones.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=210,UserListToIds
Special,UserListToNames,"(UserList ul, Text format)",text,"Returns a semi-colon separated list of users' full names. Specify text format by including ""FF"" to return the full names with the first name first. Or, include ""LF"" to return the full names with the last name first.","UserListToNames([Volunteers], ""LF""), returns ""Smith, Michael; Jones, Nancy"" where the Volunteers are the users Michael Smith and Nancy Jones.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=184,UserListToNames
Special,UserListToNames,(UserList ul),text,"Returns a semi-colon separated list of the users' full names, first name first.",UserListToNames([Volunteers]) returns the full names of the users listed in the Volunteers field. ,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=185,UserListToNames
Special,UserRoles,"(""ID/Name/Empty"")",Multi-select Text,Returns information about the current user&rsquo;s role. Use in a Formula Multi-select Text field.,"UserRoles(""ID"") returns the role ID. UserRoles(""Name"") returns the role name. UserRoles(""""), or empty, returns the role ID and name in the format ID/name. 

Usage examples, based on the user role, include showing or hiding form elements, validating data, sending a webhook or email notification, or dynamic instructional text.


",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=201,UserRoles
Special,UserToEmail,(User x),Text,"Returns the user's e-mail address.

This function won't work for users who have hidden their e-mail address.",UserToEmail([Last Modified By]) returns the email address of the QuickBase user who last modified a record.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=179,UserToEmail
Special,UserToId,(User x),Text,Returns a given user&#39;s hashed ID.,"UserToId([Record Owner]), returns ""1234.abcd"" where the record owner is the user Michael Smith.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=209,UserToId
Special,UserToName,"(User x, Text format)",Text,"Returns a given user's full name. Specify text format by including ""FF"" to return the full name with the first name first. Or, include ""LF"" to return the full name with the last name first.","UserToName([Record Owner], ""LF""), returns ""Smith, Michael"" where the record owner is the user Michael Smith.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=155,UserToName
Special,UserToName,(User x),Text,"Returns the user's full name, first name first.","UserToName([Record Owner]) returns the full name of the user listed in the Record Owner field. 

Use this function to turn a user name into a full name. For example: 

UserToName(ToUser(""bboop"")) might return ""Betty Boop"". 
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=156,UserToName
Dates,WeekdayAdd,"(Date d, Number n)",Date,Returns the date that is n weekdays past the given date d.  n may be negative to move backward in time.,"WeekdayAdd([Start], [Duration]) returns the date that results if you add the value in the Duration field to the date in the Start field and count only weekdays. 

WeekdayAdd(ToDate(""6/20/2003""), 2) returns 6/24/2003

WeekdayAdd(ToDate(""6/24/2003""), -2) returns 6/20/2003

If you have a date field named ""Start Date"" and that field has a value of 6/23/2003, then WeekdayAdd([Start Date], -2) returns 6/20/2003",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=157,WeekdayAdd
WorkDates,WeekdayAdd,"(WorkDate d, Number n)",WorkDate,"Returns the date obtained by adding n weekdays to the date d. The calculation includes the date d as one of the n days. For example, adding 2 days to 10/31/2003 which is a Friday will give you 11/03/2003 since it counts 10/31/2003 as 1 day and 11/03/2003 (a Monday) as the second day. ","WeekdayAdd([Start],5) returns the date 5 weekdays after the date in the Start field.

WeekdayAdd(ToWorkDate(ToDate(""10/31/2003"")), 2) returns 11/03/2003

WeekdayAdd([Field A], [Field B]) where Field A is a field of type WorkDate and Field B is a field of type Numeric. Assuming that the value of Field A is 10/31/2003 and the value of Field B is 2, the formula will return 11/03/2003
",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=166,WeekdayAdd
Dates,WeekdaySub,"(Date d2, Date d1)",Number,"Returns the number of weekdays in the interval starting with d1 and ending on the day before d2 (same as subtracting Dates, but the result is the number of weekdays instead of a Duration). It is the inverse of WeekdayAdd.
","WeekdaySub([Finish], [Start]) returns the number of weekdays between the dates in the Start and Finish fields.

WeekdaySub(ToDate(""6/24/2003""), ToDate(""6/20/2003"") ) returns 2

",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=158,WeekdaySub
Dates,WeekOfYear,(Date d),Number,Returns the number of weeks by which the given date d follows the first week of the year based on ISO standards. First day of week is a Monday. First week contains the first Thursday of January.,"WeekOfYear(ToDate(""Aug 20, 2000"")) returns 33
WeekOfYear(ToDate(""Aug 20, 2000""), 1) returns 35",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=204,WeekOfYear
Durations,Weeks,(Number n),Duration,"Returns a Duration representing n weeks. This function takes a number and converts it into a Duration type value, expressed in weeks.","Weeks(2) returns a 2 week duration
Weeks([Weeks until Delivery]) converts the numeric value in the Weeks until Delivery field into a duration expressed in weeks. The number doesn't change, just the data type.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=64,Weeks
WorkDates,WorkdayAdd,"(WorkDate d, Numeric n)",WorkDate,"Returns the date obtained by adding n days to the date d. The calculation includes the date d as one of the n days. For example, adding 2 days to 10/31/2003 which is a Friday will give you 11/01/2003 since it counts 10/31/2003 as 1 day and 11/01/2003 (a Saturday) as the second day. ","WorkdayAdd([Order Date],7) returns the date seven days after the value in the Order Date field.

WorkdayAdd(ToWorkDate(ToDate(""10/31/2003"")), 1) returns 10/31/2003 while WorkdayAdd(ToWorkDate(ToDate(""10/31/2003"")), 2) returns 11/01/2003",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=167,WorkdayAdd
Dates,Year,(Date d),Number,Returns the year number of the Date d.,"Year([Start Date]) returns the year of the date that appears in the Start Date field.

Year(ToDate(""Jan 10, 2000"")) returns 2000",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=30,Year
